company,year,e,v,e.,e..,s.,s..,i,r,p.,s,y
nue,2017,8255,0.138404538,0.051592357,-3,0.123177775,-3,0.0207,0.0039,0.016675,59,0.176525202
nue,2016,7850,0.073471795,-0.027863777,-2,-0.136623873,-0.471681822,0.0073,0.0013,0.027064,50,0.123177775
nue,2015,8075,0.042190982,0.020859671,6,0.089588472,-27,0.0076,0.0009,0.022878,44,-0.136623873
nue,2014,7910,0.064672452,0.003170577,-0.862721139,0.16957295,-0.711207649,0.015,0.0011,0.018419,52,0.089588472
nue,2013,7885,0.069841554,0.023095887,-0.549691632,-0.006578989,-0.250352483,0.0174,0.0014,0.022807,47,0.16957295
nue,2012,7707,0.119548849,0.051289047,,-0.022781036,-0.96798625,0.0296,0.001,0.015499,40,-0.006578989
nue,2011,7331,0.072722622,-0.033359705,,-0.030388996,-3,0.015,0.0018,0.027089,41,-0.022781036
nue,2010,7584,0.083954041,,,-0.949248267,1,0.0272,0.0016,-0.025999,42,-0.030388996
nue,2009,37806,0.092964996,,,0.508358302,-4,0.0009,0.0192,0.001222,43,-0.949248267
blk,2021,35334,0.148227447,0.051200428,0.407274148,0.243518073,-2,0.0136,0.0036,-0.034046,846,0.508358302
blk,2020,33613,0.064106497,0.036382697,0.98071132,-0.086382393,-0.210957775,0.0229,0.0216,0.022889,561,0.243518073
blk,2019,32433,0.114789362,0.0183685,-0.801541221,0.166470067,27,0.0191,0.0179,0.029189,451,-0.086382393
blk,2018,31848,0.099333145,0.092555746,4,0.210977387,-0.91426741,0.0211,0.01,0.022557,494,0.166470067
blk,2017,29150,0.068812689,0.019944017,-0.499396072,0.007428513,-0.537012289,0.0207,0.0039,0.016675,423,0.210977387
blk,2016,28580,0.065068437,0.039839913,0.220229132,0.086647485,-0.584204591,0.0073,0.0013,0.027064,350,0.007428513
blk,2015,27485,0.058596357,0.032649534,-0.189778535,0.187148562,13,0.0076,0.0009,0.022878,347,0.086647485
blk,2014,26616,0.091206194,0.040297049,2,0.450097712,-5,0.015,0.0011,0.018419,319,0.187148562
blk,2013,25585,0.061703015,0.012465374,-1,0.03284173,-1,0.0174,0.0014,0.022807,269,0.450097712
blk,2012,25270,0.102282695,-0.040185354,,-0.008721675,-1,0.0296,0.001,0.015499,186,0.03284173
blk,2011,26328,0.153068455,0.072292592,,0.051821772,-2,0.015,0.0018,0.027089,180,-0.008721675
blk,2010,24553,0.2601812,,,-0.529870456,-471,0.0272,0.0016,-0.025999,181,0.051821772
blk,2009,109926,0.100236923,,,0.757542102,-0.983837312,0.0009,0.0192,0.001222,172,-0.529870456
gs,2021,95932,0.146890587,0.062781809,70,-0.001611775,11,0.0136,0.0036,-0.034046,366,0.757542102
gs,2020,90265,0.070275885,0.000887065,-0.990814036,-0.099721935,-1,0.0229,0.0216,0.022889,209,-0.001611775
